Thu Nov 28 07:33:43 2024       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 565.57.01              Driver Version: 565.57.01      CUDA Version: 12.7     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-PCIE-32GB           On  |   00000000:58:00.0 Off |                    0 |
| N/A   40C    P0             29W /  250W |       1MiB /  32768MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
cuda
Tesla V100-PCIE-32GB
Epoch: 186	Train loss: 9.978e-04	Val loss: 1.018e-03
Epoch: 187	Train loss: 8.619e-04	Val loss: 1.277e-03
Epoch: 188	Train loss: 9.215e-04	Val loss: 2.772e-03
Epoch: 189	Train loss: 8.535e-04	Val loss: 1.029e-03
Epoch: 190	Train loss: 9.591e-04	Val loss: 1.286e-03
Epoch: 191	Train loss: 9.301e-04	Val loss: 1.855e-03
Epoch: 192	Train loss: 9.332e-04	Val loss: 1.784e-03
Epoch: 193	Train loss: 9.665e-04	Val loss: 1.822e-03
Epoch: 194	Train loss: 8.227e-04	Val loss: 1.287e-03
Epoch: 195	Train loss: 9.069e-04	Val loss: 9.249e-04
Epoch: 196	Train loss: 9.352e-04	Val loss: 1.212e-03
Epoch: 197	Train loss: 8.966e-04	Val loss: 9.955e-04
Epoch: 198	Train loss: 9.771e-04	Val loss: 1.164e-03
Epoch: 199	Train loss: 8.225e-04	Val loss: 1.395e-03
Epoch: 200	Train loss: 1.081e-03	Val loss: 1.133e-03
Epoch: 201	Train loss: 8.003e-04	Val loss: 1.135e-03
Epoch: 202	Train loss: 9.052e-04	Val loss: 1.049e-03
Epoch: 203	Train loss: 8.227e-04	Val loss: 1.965e-03
Epoch: 204	Train loss: 9.487e-04	Val loss: 1.423e-03
Epoch: 205	Train loss: 9.303e-04	Val loss: 1.500e-03
Epoch: 206	Train loss: 8.659e-04	Val loss: 1.880e-03
Epoch: 207	Train loss: 8.378e-04	Val loss: 1.472e-03
Epoch: 208	Train loss: 9.248e-04	Val loss: 1.451e-03
Epoch: 209	Train loss: 8.558e-04	Val loss: 1.193e-03
Epoch: 210	Train loss: 9.595e-04	Val loss: 1.130e-03
Epoch: 211	Train loss: 9.195e-04	Val loss: 1.091e-03
Epoch: 212	Train loss: 8.562e-04	Val loss: 1.152e-03
Epoch: 213	Train loss: 8.497e-04	Val loss: 1.281e-03
Epoch: 214	Train loss: 8.777e-04	Val loss: 1.105e-03
Epoch: 215	Train loss: 8.666e-04	Val loss: 1.442e-03
Epoch: 216	Train loss: 8.424e-04	Val loss: 1.455e-03
Epoch: 217	Train loss: 8.561e-04	Val loss: 1.143e-03
Epoch: 218	Train loss: 9.181e-04	Val loss: 1.109e-03
Epoch: 219	Train loss: 7.995e-04	Val loss: 1.160e-03
Epoch: 220	Train loss: 8.934e-04	Val loss: 1.391e-03
Epoch: 221	Train loss: 8.901e-04	Val loss: 1.457e-03
Epoch: 222	Train loss: 9.390e-04	Val loss: 1.448e-03
Epoch: 223	Train loss: 8.661e-04	Val loss: 1.193e-03
Epoch: 224	Train loss: 8.124e-04	Val loss: 1.654e-03
Epoch: 225	Train loss: 8.491e-04	Val loss: 1.369e-03
